"Quantity","Comment","Designator","Manufacturer","Value","Description","Footprint","Voltage","Dielectric","Manufacturer Part Number","LCSC Part Number"
"3","4.7 µF","C30A, C30B, C30C","Samsung Electro-Mechanics","4.7 µF","25V 4.7uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0805","","","CL21A475KAQNNNE","C1779"
"2","1 µF","C44, C45","Taiyo Yuden","1 µF","50V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603","","","UMK107AB7105KA-T","C105174"
"1","100 pF","C46","YAGEO","100 pF","2kV 100pF NP0 ±5% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_1206","","","CC1206JKNPODBN101","C113876"
"120","100 nF","C47A, C47B, C47C, C47D, C47E, C47F, C48A, C48B, C48C, C48D, C48E, C48F, C51A, C51B, C51C, C51D, C51E, C51F, C51G, C51H, C51I, C51J, C51K, C51L, C51M, C51N, C51O, C51P, C51Q, C51R, C51S, C51T, C51U, C51V, C51W, C51X, C52A, C52B, C52C, C52D, C52E, C52F, C52G, C52H, C52I, C52J, C52K, C52L, C52M, C52N, C52O, C52P, C52Q, C52R, C52S, C52T, C52U, C52V, C52W, C52X, C53A, C53B, C53C, C53D, C53E, C53F, C54A, C54B, C54C, C54D, C54E, C54F, C55A, C55B, C55C, C55D, C55E, C55F, C56A, C56B, C56C, C56D, C56E, C56F, C57A, C57B, C57C, C57D, C57E, C57F, C58A, C58B, C58C, C58D, C58E, C58F, C59A, C59B, C59C, C59D, C59E, C59F, C60A, C60B, C60C, C60D, C60E, C60F, C61A, C61B, C61C, C61D, C61E, C61F, C62A, C62B, C62C, C62D, C62E, C62F","Samsung Electro-Mechanics","100 nF","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0402_TE","50V","","CL05B104KO5NNNC","C1525"
"48","1.5 nF","C49A, C49B, C49C, C49D, C49E, C49F, C49G, C49H, C49I, C49J, C49K, C49L, C49M, C49N, C49O, C49P, C49Q, C49R, C49S, C49T, C49U, C49V, C49W, C49X, C50A, C50B, C50C, C50D, C50E, C50F, C50G, C50H, C50I, C50J, C50K, C50L, C50M, C50N, C50O, C50P, C50Q, C50R, C50S, C50T, C50U, C50V, C50W, C50X","Murata Electronics","1.5 nF","50V 1.5nF null ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0402_TE","50V","","GRM1555C1H152JA01D","C668348"
"2","10 nF","C75, C81","FH (Guangdong Fenghua Advanced Tech)","10 nF","50V 10nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","50V","","0603B103K500NT","C57112"
"1","LED Blue","D1","Everlight Elec","","LED BLUE 465~475NM 11.5~28.5MCD@5MA TOP VIEW 0603 ROHS","WL-SMCW_0603","","","19-217/BHC-ZL1M2RY/3T","C72041"
"1","LED Green","D2","Everlight Elec","","LED GREEN 520~535NM 112~258MCD@20MA TOP VIEW 0603 ROHS","WL-SMCW_0603","","","19-217/GHC-YR1S2/3T","C72043"
"1","LED Red","D3","Hubei KENTO Elec","","LED RED 520~625NM 90~100MCD@20MA TOP VIEW 0603 ROHS","WL-SMCW_0603","","","KT-0603R","C2286"
"24","TVS, 5V","D4A, D4B, D4C, D4D, D4E, D4F, D4G, D4H, D4I, D4J, D4K, D4L, D4M, D4N, D4O, D4P, D4Q, D4R, D4S, D4T, D4U, D4V, D4W, D4X","Leditech","TVS, 5V","2-Line Bi-directional TVS Diode Array","SOT-23-3","","","SMC05","C384879"
"2","90V","D5, D6","PANJIT International","90V","Schottky Diode, 90 V, 3 A","DIOM5226X262N","","","BX39_R1_00001","C263143"
"11","UPZ2012E601-2R0TF","L1, L4, L5, L6, L7A, L7B, L7C, L8, L9, L11, L12","Sunlord","90 Ohm","2A 1 90mO 600O@100MHz ±25% 0805  Ferrite Beads ROHS","INDC2012X92N_V","","","UPZ2012E601-2R0TF","C98308"
"2","150 uH","L2, L10","CENKER","150 uH","850mA 150uH ±20% 410mO SMD  Power Inductors ROHS","POWER_INDUCTOR_8040","","","CKCS8040-150uH/M","C354644"
"1","100 Ohm @ 10 MHz","L3","Murata","100 Ohm @ 10 MHz","-40?~125? 1.5A 56mO 50V 100O @ 10MHz 125VDC SMD,5x5mm Common Mode Filters ROHS","FP-DLW5BT-MFG","","","DLW5BTH142TQ2L","C393166"
"1","20k","R1","UNI-ROYAL","20k","SMD resistor E24 series","RES 0603_1608","","","0603WAF2002T5E","C4184"
"1","4k7","R2","UNI-ROYAL","4k7","SMD resistor E24 series","RES 0603_1608","","","0603WAF4701T5E","C23162"
"1","100R","R3","KOA Speer","100R","SMD resistor E24 series","RES 0603_1608","","","RK73B1JTTD101J","C22775"
"2","4k7","R4, R5","UNI-ROYAL(Uniroyal Elec)","4k7","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 4.7kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF4701T5E","C23162"
"2","100k","R6, R39","UNI-ROYAL(Uniroyal Elec)","100k","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 100kΩ 0603 Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF1003T5E","C25803"
"6","0R","R7A, R7B, R7C, R8A, R8B, R8C","UNI-ROYAL(Uniroyal Elec)","0R","100mW Thick Film Resistors 75V ±1% 0Ω 0603 Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF0000T5E","C21189"
"48","6k65","R9A, R9B, R9C, R9D, R9E, R9F, R10A, R10B, R10C, R10D, R10E, R10F, R15A, R15B, R15C, R15D, R15E, R15F, R17A, R17B, R17C, R17D, R17E, R17F, R19A, R19B, R19C, R19D, R19E, R19F, R20A, R20B, R20C, R20D, R20E, R20F, R36A, R36B, R36C, R36D, R36E, R36F, R37A, R37B, R37C, R37D, R37E, R37F","YAGEO","6k65","62.5mW Thin Film Resistor ±25ppm/? ±0.1% 6.65kO 0402 Chip Resistor - Surface Mount ROHS","R_0402_TE","","","RT0402BRD076K65L","C728562"
"48","10k","R11A, R11B, R11C, R11D, R11E, R11F, R12A, R12B, R12C, R12D, R12E, R12F, R13A, R13B, R13C, R13D, R13E, R13F, R14A, R14B, R14C, R14D, R14E, R14F, R32A, R32B, R32C, R32D, R32E, R32F, R33A, R33B, R33C, R33D, R33E, R33F, R34A, R34B, R34C, R34D, R34E, R34F, R35A, R35B, R35C, R35D, R35E, R35F","YAGEO","10k","62.5mW Thin Film Resistor 50V ±25ppm/? ±0.1% 10kO 0402 Chip Resistor - Surface Mount ROHS","R_0402_TE","","","RT0402BRD0710KL","C190095"
"48","51R","R16A, R16B, R16C, R16D, R16E, R16F, R16G, R16H, R16I, R16J, R16K, R16L, R16M, R16N, R16O, R16P, R16Q, R16R, R16S, R16T, R16U, R16V, R16W, R16X, R18A, R18B, R18C, R18D, R18E, R18F, R18G, R18H, R18I, R18J, R18K, R18L, R18M, R18N, R18O, R18P, R18Q, R18R, R18S, R18T, R18U, R18V, R18W, R18X","Viking Tech","51R","62.5mW ±25ppm/℃ ±0.1% 51Ω 0402  Chip Resistor - Surface Mount ROHS","R_0402_TE","","","ARG02BTC0510","C5122077"
"2","162k","R21, R45","UNI-ROYAL","162k","100mW Thick Film Resistors 75V ±100ppm/? ±1% -55?~+155? 162kO 0603 Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF1623T5E","C22815"
"1","3k3","R22","UNI-ROYAL","3k3","100mW Thick Film Resistors 75V ±100ppm/? ±1% -55?~+155? 3.3kO 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF3301T5E","C22978"
"2","75k","R23, R47","UNI-ROYAL","75k","100mW Thick Film Resistors 75V ±100ppm/? ±1% -55?~+155? 75kO 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF7502T5E","C23242"
"2","133k","R24, R48","YAGEO","133k","100mW Thick Film Resistors 75V ±1% ±100ppm/? 133kO -55?~+155? 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","AC0603FR-07133KL","C227577"
"1","7k5","R25","UNI-ROYAL","7k5","100mW Thick Film Resistors 75V ±100ppm/? ±1% -55?~+155? 7.5kO 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF7501T5E","C23234"
"1","1M","R26","UNI-ROYAL","1M","250mW Thick Film Resistors 200V ±100ppm/? ±1% -55?~+155? 1MO 1206 Chip Resistor - Surface Mount ROHS","RES 1206_3216","","","1206W4F1004T5E","C17927"
"6","10R","R27A, R27B, R27C, R31A, R31B, R31C","UNI-ROYAL(Uniroyal Elec)","10R","62.5mW Thick Film Resistors 50V ±1% ±200ppm/℃ 10Ω 0402 Chip Resistor - Surface Mount ROHS","R_0402_TE","","","0402WGF100JTCE","C25077"
"9","0R","R28A, R28B, R28C, R29A, R29B, R29C, R30A, R30B, R30C","UNI-ROYAL(Uniroyal Elec)","0R","62.5mW Thick Film Resistors 50V ±800ppm/℃ ±1% 0Ω 0402 Chip Resistor - Surface Mount ROHS","R_0402_TE","","","0402WGF0000TCE","C17168"
"48","100R","R38A, R38B, R38C, R38D, R38E, R38F, R38G, R38H, R38I, R38J, R38K, R38L, R38M, R38N, R38O, R38P, R38Q, R38R, R38S, R38T, R38U, R38V, R38W, R38X, R43A, R43B, R43C, R43D, R43E, R43F, R43G, R43H, R43I, R43J, R43K, R43L, R43M, R43N, R43O, R43P, R43Q, R43R, R43S, R43T, R43U, R43V, R43W, R43X","UNI-ROYAL(Uniroyal Elec)","100R","62.5mW Thick Film Resistors 50V ±1% ±200ppm/℃ 100Ω 0402 Chip Resistor - Surface Mount ROHS","R_0402_TE","","","0402WGF1000TCE","C25076"
"1","1k","R40","UNI-ROYAL(Uniroyal Elec)","1k","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 1kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF1001T5E","C21190"
"1","1k62","R46","UNI-ROYAL(Uniroyal Elec)","1k62","100mW Thick Film Resistors 75V ±100ppm/? ±1% 1.62kO 0603 Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF1621T5E","C22844"
"1","1k02","R49","UNI-ROYAL(Uniroyal Elec)","1k02","100mW Thick Film Resistors 75V ±100ppm/? ±1% 1.02kO 0603 Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF1021T5E","C22831"
"1","35k7","R50","UNI-ROYAL(Uniroyal Elec)","35k7","100mW Thick Film Resistors 75V ±100ppm/? ±1% 35.7kO 0603 Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF3572T5E","C23027"
"1","10k","R51","UNI-ROYAL(Uniroyal Elec)","10k","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 10kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF1002T5E","C25804"
"3","MAX11331","U1A, U1B, U1C","Maxim Integrated","MAX11331","3Msps, 12-/10-Bit, 8-/16-Channel ADCs with Post-Mux External Signal Conditioning Access","QFN50P500X500X80-33N-310","","","MAX11331ATJ+","C1543252"
"6","THS4524IDBTR","U2A, U2B, U2C, U2D, U2E, U2F","Texas Instruments","Rail-to-Rail","Differential Amplifier, Very Low Power, Negative Rail Input","TSSOP-38","","","THS4524IDBTR","C2057434"
"24","TLV9152","U3A, U3B, U3C, U3D, U3E, U3F, U3G, U3H, U3I, U3J, U3K, U3L, U3M, U3N, U3O, U3P, U3Q, U3R, U3S, U3T, U3U, U3V, U3W, U3X","Texas Instruments","TLV9152","Operationsverstärker Dual, 16-V, 4.5-MHz, low-power operational amplifier 8-VSSOP -40 to 125","MSOP-8_IPC_B","","","TLV9152IDGKR","C4366107"
"2","LM5007MM/NOPB","U4, U8","Texas Instruments","500 mA","Buck Converter with 80 V integrated Power MOSFET, U_in 9 V - 75 V, U_out 2.5 V - 73 V, I_out 500 mA","TSOP65P490X110-8N","","","LM5007MM/NOPB","C23920"
"3","LM7705MM/NOPB","U5A, U5B, U5C","Texas Instruments","-0.23V","Low-Noise Negative Bias Generator","MSOP-8_DGK0008A_L","","","LM7705MM/NOPB","C129980"
"1","REF2033, 3.3V and 1.65V","U6","Texas Instruments","REF2033, 3.3V and 1.65V","REF20xx Low-Drift, Low-Power, Dual-Output, VREF and VREF / 2 Voltage References","SOT23-5_N","","","REF2033AIDDCT","C181409"
"1","TLV1117LV18DCYR","U7","Texas Instruments","1.8V","1-A, Positive Fixed-Voltage, Low-Dropout Regulator","SOT230P700X170-4N","","","TLV1117LV18DCYR","C80105"
"1","TPS7A4901DGNR","U9","Texas Instruments","-1.194 V - -33 V","78dB@(1kHz) 150mA Adjustable 1.194V~33V Positive electrode 35V HVSSOP-8 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","DGN0008D_N","","","TPS7A4901DGNR","C16430"
"1","M24C02-WMN6TP","U10","STMicroelectronics","M24C02-WMN6TP","2Kbit I2C SOP-8 EEPROM ROHS","D0008A_N","","","M24C02-WMN6TP","C7562"
"1","DS1130-02-S8B8P","X3","CONNFLY Elec","","RJ45 RJReceptacle 6 No Plugin Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS","DS1130-02-S8B8P","","","DS1130-02-S8B8P","C86584"
